Month,BorrowerRate_mean,Treasury_lag1,Treasury_lag2,Treasury_lag3,Fed_lag1,Fed_lag2,Fed_lag3
2005-11,0.10946153846153847,3.71,3.42,3.44,3.78,3.62,3.5
2005-12,0.07093888888888888,3.88,3.71,3.42,4.0,3.78,3.62
2006-01,0.084375,3.89,3.88,3.71,4.16,4.0,3.78
2006-02,0.12843561643835616,4.24,3.89,3.88,4.29,4.16,4.0
2006-03,0.17157948717948718,4.43,4.24,3.89,4.49,4.29,4.16
2006-04,0.18397708333333332,4.51,4.43,4.24,4.59,4.49,4.29
2006-05,0.18047772828507794,4.6,4.51,4.43,4.79,4.59,4.49
2006-06,0.1924263056092843,4.72,4.6,4.51,4.94,4.79,4.59
2006-07,0.19179563636363636,4.79,4.72,4.6,4.99,4.94,4.79
2006-08,0.1992007802340702,4.95,4.79,4.72,5.24,4.99,4.94
2006-09,0.1978460162601626,4.96,4.95,4.79,5.25,5.24,4.99
2006-10,0.1957662162162162,4.81,4.96,4.95,5.25,5.25,5.24
2006-11,0.19573610315186246,4.92,4.81,4.96,5.25,5.25,5.25
2006-12,0.19147233160621763,4.94,4.92,4.81,5.25,5.25,5.25
2007-01,0.18600688298918389,4.85,4.94,4.92,5.24,5.25,5.25
2007-02,0.18156274944567627,4.98,4.85,4.94,5.25,5.24,5.25
2007-03,0.17191206896551725,5.03,4.98,4.85,5.26,5.25,5.24
2007-04,0.17763542805100183,4.94,5.03,4.98,5.26,5.26,5.25
2007-05,0.17835785046728972,4.87,4.94,5.03,5.25,5.26,5.26
2007-06,0.1793225263157895,4.73,4.87,4.94,5.25,5.25,5.26
2007-07,0.17477933618843683,4.61,4.73,4.87,5.25,5.25,5.25
2007-08,0.17864463738508682,4.82,4.61,4.73,5.26,5.25,5.25
2007-09,0.1760075197889182,4.2,4.82,4.61,5.02,5.26,5.25
2007-10,0.1716981681034483,3.89,4.2,4.82,4.94,5.02,5.26
2007-11,0.16750233128834355,3.9,3.89,4.2,4.76,4.94,5.02
2007-12,0.17390471142520614,3.27,3.9,3.89,4.49,4.76,4.94
2008-01,0.17432857142857142,3.0,3.27,3.9,4.24,4.49,4.76
2008-02,0.1771951273532669,2.75,3.0,3.27,3.94,4.24,4.49
2008-03,0.1703421944692239,2.12,2.75,3.0,2.98,3.94,4.24
2008-04,0.1755687356321839,1.26,2.12,2.75,2.61,2.98,3.94
2008-05,0.17832932002495322,1.29,1.26,2.12,2.28,2.61,2.98
2008-06,0.18556197771587743,1.73,1.29,1.26,1.98,2.28,2.61
2008-07,0.19438513909224012,1.86,1.73,1.29,2.0,1.98,2.28
2008-08,0.21203033333333332,1.63,1.86,1.73,2.01,2.0,1.98
2008-09,0.20086177606177608,1.72,1.63,1.86,2.0,2.01,2.0
2008-10,0.20062593984962407,1.13,1.72,1.63,1.81,2.0,2.01
2009-05,0.17736153846153846,0.16,0.21,0.3,0.15,0.18,0.22
2009-07,0.17516,0.18,0.18,0.16,0.21,0.18,0.15
2009-08,0.17148225806451614,0.18,0.18,0.18,0.16,0.21,0.18
2009-09,0.18213091482649843,0.17,0.18,0.18,0.16,0.16,0.21
2009-10,0.1962163755458515,0.12,0.17,0.18,0.15,0.16,0.16
2009-11,0.1964563492063492,0.07,0.12,0.17,0.12,0.15,0.16
2009-12,0.20525133470225873,0.05,0.07,0.12,0.12,0.12,0.15
2010-01,0.19518337595907928,0.05,0.05,0.07,0.12,0.12,0.12
2010-02,0.1756591036414566,0.06,0.05,0.05,0.11,0.12,0.12
2010-03,0.1846220202020202,0.11,0.06,0.05,0.13,0.11,0.12
2010-04,0.18912135416666664,0.15,0.11,0.06,0.16,0.13,0.11
2010-05,0.2026273942093541,0.16,0.15,0.11,0.2,0.16,0.13
2010-06,0.20078132295719844,0.16,0.16,0.15,0.2,0.2,0.16
2010-07,0.19455560344827585,0.12,0.16,0.16,0.18,0.2,0.2
2010-08,0.2326386046511628,0.16,0.12,0.16,0.18,0.18,0.2
2010-09,0.2379882978723404,0.16,0.16,0.12,0.19,0.18,0.18
2010-10,0.23618108695652174,0.15,0.16,0.16,0.19,0.19,0.18
2010-11,0.24236975881261597,0.13,0.15,0.16,0.19,0.19,0.19
2010-12,0.24961846921797007,0.14,0.13,0.15,0.19,0.19,0.19
2011-01,0.21949368191721133,0.14,0.14,0.13,0.18,0.19,0.19
2011-02,0.2010605309734513,0.15,0.14,0.14,0.17,0.18,0.19
2011-03,0.21869597222222226,0.13,0.15,0.14,0.16,0.17,0.18
2011-04,0.2250734640522876,0.1,0.13,0.15,0.14,0.16,0.17
2011-05,0.22906146220570012,0.06,0.1,0.13,0.1,0.14,0.16
2011-06,0.24617406181015453,0.04,0.06,0.1,0.09,0.1,0.14
2011-07,0.23690075675675673,0.04,0.04,0.06,0.09,0.09,0.1
2011-08,0.24211858325666974,0.04,0.04,0.04,0.07,0.09,0.09
2011-09,0.23838945420906568,0.02,0.04,0.04,0.1,0.07,0.09
2011-10,0.22848445552784705,0.01,0.02,0.04,0.08,0.1,0.07
2011-11,0.22973112781954885,0.02,0.01,0.02,0.07,0.08,0.1
2011-12,0.22458898550724637,0.01,0.02,0.01,0.08,0.07,0.08
2012-01,0.21814976174268208,0.01,0.01,0.02,0.07,0.08,0.07
2012-02,0.2110140825998646,0.03,0.01,0.01,0.08,0.07,0.08
2012-03,0.21979267965077232,0.09,0.03,0.01,0.1,0.08,0.07
